"","GO.ID","Term","Annotated","Significant","Expected","Rank in classic","classic","weight"
"1","GO:0002576","platelet degranulation",28,9,2.85,1,"0.0012","0.0012"
"2","GO:0006024","glycosaminoglycan biosynthetic process",14,6,1.42,2,"0.0015","0.0015"
"3","GO:0033273","response to vitamin",11,5,1.12,4,"0.0028","0.0028"
"4","GO:0002478","antigen processing and presentation of e...",22,7,2.24,5,"0.0045","0.0045"
"5","GO:0002040","sprouting angiogenesis",17,6,1.73,7,"0.0048","0.0048"
"6","GO:0031589","cell-substrate adhesion",46,10,4.67,16,"0.0143","0.0097"
"7","GO:0016358","dendrite development",20,6,2.03,10,"0.0116","0.0116"
"8","GO:0051170","import into nucleus",20,6,2.03,11,"0.0116","0.0116"
"9","GO:0031214","biomineral tissue development",15,5,1.52,14,"0.0132","0.0132"
"10","GO:1903510","mucopolysaccharide metabolic process",15,5,1.52,15,"0.0132","0.0132"
"11","GO:0070527","platelet aggregation",16,5,1.63,24,"0.0176","0.0176"
"12","GO:0006353","DNA-templated transcription, termination",11,4,1.12,28,"0.0192","0.0192"
"13","GO:0019218","regulation of steroid metabolic process",11,4,1.12,29,"0.0192","0.0192"
"14","GO:0048013","ephrin receptor signaling pathway",11,4,1.12,30,"0.0192","0.0192"
"15","GO:0042445","hormone metabolic process",23,6,2.34,36,"0.0234","0.0234"
"16","GO:0045471","response to ethanol",12,4,1.22,40,"0.0265","0.0265"
"17","GO:0010632","regulation of epithelial cell migration",30,7,3.05,43,"0.0267","0.0267"
"18","GO:0008037","cell recognition",18,5,1.83,48,"0.0292","0.0292"
"19","GO:0031334","positive regulation of protein complex a...",25,6,2.54,53,"0.0346","0.0346"
"20","GO:0007044","cell-substrate junction assembly",13,4,1.32,54,"0.0354","0.0354"
"21","GO:0042775","mitochondrial ATP synthesis coupled elec...",13,4,1.32,55,"0.0354","0.0354"
"22","GO:0046718","viral entry into host cell",13,4,1.32,56,"0.0354","0.0354"
"23","GO:1902600","proton transmembrane transport",13,4,1.32,57,"0.0354","0.0354"
"24","GO:1905952","regulation of lipid localization",19,5,1.93,59,"0.0365","0.0365"
"25","GO:0010564","regulation of cell cycle process",80,13,8.13,80,"0.0552","0.0421"
"26","GO:0060350","endochondral bone morphogenesis",14,4,1.42,68,"0.0457","0.0457"
"27","GO:0061572","actin filament bundle organization",25,5,2.54,149,"0.1017","0.0458"
